date,product_id,product_name,category,unit_price,quantity_sold,revenue,month,day_of_week,day,year,week_of_year,is_weekend,rolling_avg_qty,previous_qty,calculated_revenue
2025-01-01,E001,13A Plug base (ACL),Electrical,650,11,7150,1,2,1,2025,1,0,11.0,0.0,7150
2025-01-02,E001,13A Plug base (ACL),Electrical,650,6,3900,1,3,2,2025,1,0,8.5,11.0,3900
2025-01-03,E001,13A Plug base (ACL),Electrical,650,8,5200,1,4,3,2025,1,0,8.333333333333334,6.0,5200
2025-01-04,E001,13A Plug base (ACL),Electrical,650,11,7150,1,5,4,2025,1,1,8.333333333333334,8.0,7150
2025-01-07,E001,13A Plug base (ACL),Electrical,650,18,11700,1,1,7,2025,2,0,12.333333333333334,11.0,11700
2025-01-08,E001,13A Plug base (ACL),Electrical,650,26,16900,1,2,8,2025,2,0,18.333333333333332,18.0,16900
2025-01-09,E001,13A Plug base (ACL),Electrical,650,24,15600,1,3,9,2025,2,0,22.666666666666668,26.0,15600
2025-01-10,E001,13A Plug base (ACL),Electrical,650,6,3900,1,4,10,2025,2,0,18.666666666666668,24.0,3900
2025-01-12,E001,13A Plug base (ACL),Electrical,650,8,5200,1,6,12,2025,2,1,12.666666666666666,6.0,5200
2025-01-13,E001,13A Plug base (ACL),Electrical,650,20,13000,1,0,13,2025,3,0,11.333333333333334,8.0,13000
2025-01-14,E001,13A Plug base (ACL),Electrical,650,21,13650,1,1,14,2025,3,0,16.333333333333332,20.0,13650
2025-01-16,E001,13A Plug base (ACL),Electrical,650,24,15600,1,3,16,2025,3,0,21.666666666666668,21.0,15600
2025-01-17,E001,13A Plug base (ACL),Electrical,650,16,10400,1,4,17,2025,3,0,20.333333333333332,24.0,10400
2025-01-18,E001,13A Plug base (ACL),Electrical,650,21,13650,1,5,18,2025,3,1,20.333333333333332,16.0,13650
2025-01-19,E001,13A Plug base (ACL),Electrical,650,20,13000,1,6,19,2025,3,1,19.0,21.0,13000
2025-01-21,E001,13A Plug base (ACL),Electrical,650,12,7800,1,1,21,2025,4,0,17.666666666666668,20.0,7800
2025-01-22,E001,13A Plug base (ACL),Electrical,650,18,11700,1,2,22,2025,4,0,16.666666666666668,12.0,11700
2025-01-23,E001,13A Plug base (ACL),Electrical,650,6,3900,1,3,23,2025,4,0,12.0,18.0,3900
2025-01-24,E001,13A Plug base (ACL),Electrical,650,12,7800,1,4,24,2025,4,0,12.0,6.0,7800
2025-01-25,E001,13A Plug base (ACL),Electrical,650,28,18200,1,5,25,2025,4,1,15.333333333333334,12.0,18200
2025-01-26,E001,13A Plug base (ACL),Electrical,650,25,16250,1,6,26,2025,4,1,21.666666666666668,28.0,16250
2025-01-27,E001,13A Plug base (ACL),Electrical,650,8,5200,1,0,27,2025,5,0,20.333333333333332,25.0,5200
2025-01-28,E001,13A Plug base (ACL),Electrical,650,10,6500,1,1,28,2025,5,0,14.333333333333334,8.0,6500
2025-01-29,E001,13A Plug base (ACL),Electrical,650,28,18200,1,2,29,2025,5,0,15.333333333333334,10.0,18200
2025-01-30,E001,13A Plug base (ACL),Electrical,650,20,13000,1,3,30,2025,5,0,19.333333333333332,28.0,13000
2025-01-31,E001,13A Plug base (ACL),Electrical,650,24,15600,1,4,31,2025,5,0,24.0,20.0,15600
2025-02-01,E001,13A Plug base (ACL),Electrical,650,14,9100,2,5,1,2025,5,1,19.333333333333332,24.0,9100
2025-02-02,E001,13A Plug base (ACL),Electrical,650,23,14950,2,6,2,2025,5,1,20.333333333333332,14.0,14950
2025-02-04,E001,13A Plug base (ACL),Electrical,650,7,4550,2,1,4,2025,6,0,14.666666666666666,23.0,4550
2025-02-08,E001,13A Plug base (ACL),Electrical,650,14,9100,2,5,8,2025,6,1,14.666666666666666,7.0,9100
2025-02-09,E001,13A Plug base (ACL),Electrical,650,24,15600,2,6,9,2025,6,1,15.0,14.0,15600
2025-02-10,E001,13A Plug base (ACL),Electrical,650,18,11700,2,0,10,2025,7,0,18.666666666666668,24.0,11700
2025-02-11,E001,13A Plug base (ACL),Electrical,650,11,7150,2,1,11,2025,7,0,17.666666666666668,18.0,7150
2025-02-12,E001,13A Plug base (ACL),Electrical,650,9,5850,2,2,12,2025,7,0,12.666666666666666,11.0,5850
2025-02-13,E001,13A Plug base (ACL),Electrical,650,23,14950,2,3,13,2025,7,0,14.333333333333334,9.0,14950
2025-02-14,E001,13A Plug base (ACL),Electrical,650,7,4550,2,4,14,2025,7,0,13.0,23.0,4550
2025-02-15,E001,13A Plug base (ACL),Electrical,650,9,5850,2,5,15,2025,7,1,13.0,7.0,5850
